103 ST,10448
103 ST-CORONA,10828.5
104 ST,2030.25
110 ST,4499.75
111 ST,8160.25
116 ST,12524
116 ST-COLUMBIA,1939
121 ST,1178.5
125 ST,30583.25
135 ST,7791.5
137 ST CITY COL,4263
138/GRAND CONC,1119
145 ST,13209.75
149/GRAND CONC,5879.25
14 ST,10672
14 ST-UNION SQ,21672.5
14TH STREET,1624.7
155 ST,2990.5
157 ST,4120
15 ST-PROSPECT,1368.25
161/YANKEE STAD,9981.5
163 ST-AMSTERDM,1745
167 ST,8473
168 ST,8798
169 ST,3314.75
170 ST,8234.25
174-175 STS,2840.25
174 ST,2762
175 ST,4119.5
176 ST,3064.25
181 ST,9339.5
182-183 STS,1721.5
183 ST,3293.5
18 AV,6516.25
18 ST,1214.5
190 ST,672
191 ST,601.75
1 AV,4054.5
207 ST,2968
20 AV,3400.5
215 ST,718.5
219 ST,1773
21 ST,645
21 ST-QNSBRIDGE,4507.5
225 ST,2133.5
231 ST,3776.25
233 ST,2680
238 ST,1743
23 ST,21430
25 AV,1828
25 ST,1567.75
28 ST,9663.25
2 AV,3559.75
30 AV,4129
33 ST,6950
33 ST-RAWSON ST,2648
34 ST-HERALD SQ,22136.25
34 ST-HUDSON YD,3678
34 ST-PENN STA,32662.5
36 AV,2269.75
36 ST,7290
39 AV,1057.75
3 AV,1710
3 AV 138 ST,3560
3 AV-149 ST,11153
40 ST LOWERY ST,2960.25
42 ST-BRYANT PK,9021
42 ST-PORT AUTH,22454.25
45 ST,3214.5
46 ST,2869.5
46 ST BLISS ST,5112.375
47-50 STS ROCK,11645
49 ST,3579.5
4 AV-9 ST,1174.5
4AV-9 ST,2407
50 ST,8849.5
51 ST,3624.375
52 ST,2195
53 ST,4188
55 ST,1135.25
57 ST,2988
57 ST-7 AV,6710.5
59 ST,17738.75
59 ST COLUMBUS,15214.5
5 AV/53 ST,3707.75
5 AV/59 ST,2936.25
5 AVE,2646.5
61 ST WOODSIDE,6083
63 DR-REGO PARK,5974.25
65 ST,1445
66 ST-LINCOLN,3643.5
67 AV,2723.5
68ST-HUNTER CO,5806.5
69 ST,2080.5
6 AV,411.5
71 ST,2182.5
72 ST,10405.75
72 ST-2 AVE,9158.5
74 ST-BROADWAY,1451.25
75 AV,1079
75 ST-ELDERTS,1832.25
77 ST,8818.25
79 ST,5451.75
7 AV,7551.5
80 ST,1820.5
81 ST-MUSEUM,1884
82 ST-JACKSON H,6303.25
85 ST-FOREST PK,1924.75
86 ST,23560.5
86 ST-2 AVE,5151.5
88 ST,1280.5
8 AV,7926.5
8 ST-NYU,1987.75
90 ST-ELMHURST,7259.4375
96 ST,18440
96 ST-2 AVE,5785
9 AV,2318.5
9TH STREET,628
ALABAMA AV,1365
ALLERTON AV,2862.5
AQUEDUCT N.COND,383.5
AQUEDUCT RACETR,103.25
ASTORIA BLVD,2403.25
ASTORIA DITMARS,4692.5
ASTOR PL,2591
ATLANTIC AV,927
ATL AV-BARCLAY,13672.6692
AVENUE H,1027.25
AVENUE I,1054
AVENUE J,2488.25
AVENUE M,2376
AVENUE N,1343.5
AVENUE P,1245
AVENUE U,5301.5
AVENUE X,1381.5
BAY 50 ST,1141.5
BAYCHESTER AV,1848
BAY PKWY,6336.5
BAY RIDGE-95 ST,2248.5
BAY RIDGE AV,2939.5
BEACH 105 ST,77
BEACH 25 ST,927.75
BEACH 36 ST,583
BEACH 44 ST,421.5
BEACH 60 ST,1175.5
BEACH 67 ST,1224.75
BEACH 90 ST,325
BEACH 98 ST,182.5
BEDFORD AV,3844.5
BEDFORD-NOSTRAN,2470.5
BEDFORD PK BLVD,5516.75
BERGEN ST,3164
BEVERLEY ROAD,1178.25
BEVERLY RD,2082.5
BLEECKER ST,2669.25
BOROUGH HALL,8494
BOTANIC GARDEN,544.5
BOWERY,909.25
BOWLING GREEN,6644.5
BRIARWOOD,1838.25
BRIGHTON BEACH,5092.5
BROAD CHANNEL,117.5
BROAD ST,2041
BROADWAY,5282.5
BROADWAY JCT,4585.75
BRONX PARK EAST,1299
BROOK AV,3345.5
BROOKLYN BRIDGE,4412
BUHRE AV,1508
BURKE AV,1849
BURNSIDE AV,5002.5
BUSHWICK AV,791.5
B'WAY-LAFAYETTE,3083
CANAL ST,12021.75
CANARSIE-ROCKAW,5449
CARROLL ST,2172
CASTLE HILL AV,3158.25
CATHEDRAL PKWY,5140.5
CENTRAL AV,1308
CENTRAL PK N110,3340.75
CHAMBERS ST,12237.5
CHAUNCEY ST,1484.5
CHRISTOPHER ST,2047.25
CHURCH AV,15506.75
CITY / BUS,1760.75
CITY HALL,1232
CLARK ST,992.25
CLASSON AV,1532.25
CLEVELAND ST,1606.5
CLINTON-WASH AV,2674.5
CONEY IS-STILLW,6029
CORTELYOU RD,2202.25
CORTLANDT ST,2818
COURT SQ,4327.25
COURT SQ-23 ST,1870.5
CRESCENT ST,2495.5
CROWN HTS-UTICA,12403.5
CYPRESS AV,1978.5
CYPRESS HILLS,782
DEKALB AV,9016.25
DELANCEY/ESSEX,7351
DITMAS AV,1846
DYCKMAN ST,5770.25
E 143/ST MARY'S,609.5
E 149 ST,2881
E 180 ST,4129
EAST 105 ST,1857
EAST BROADWAY,4165
EASTCHSTER/DYRE,2375
EASTN PKWY-MUSM,884.75
ELDER AV,3696.5
ELMHURST AV,4216.5
EUCLID AV,5484.431034
EXCHANGE PLACE,2612.6
FAR ROCKAWAY,2691.25
FLATBUSH AV-B.C,8320
FLUSHING AV,5609
FLUSHING-MAIN,19935
FORDHAM RD,11092.75
FOREST AVE,1773
FOREST HILLS 71,8660.5
FRANKLIN AV,6144
FRANKLIN ST,693.5
FREEMAN ST,2330
FRESH POND RD,2634
FT HAMILTON PKY,5071
FULTON ST,21790.75
GATES AV,2553.5
GRAHAM AV,2121.5
GRAND ARMY PLAZ,1589.75
GRAND-NEWTOWN,6203.5
GRAND ST,8963.25
GRANT AV,2954.75
GRD CNTRL-42 ST,26489.75
GREENPOINT AV,2973
GROVE STREET,3059.75
GUN HILL RD,5241.5
HALSEY ST,5345
HARLEM 148 ST,1581.25
HARRISON,1790.7
HEWES ST,1231
HIGH ST,1804.5
HOUSTON ST,2617
HOWARD BCH JFK,1894.75
HOYT-SCHER,3731.5
HOYT ST,2442.25
HUNTERS PT AV,2455
HUNTS POINT AV,5150
INTERVALE AV,1702.5
INWOOD-207 ST,3669.5
JACKSON AV,2554.5
JAMAICA 179 ST,9221.25
JAMAICA CENTER,17364.75
JAMAICA VAN WK,2203
JAY ST-METROTEC,10980.75
JEFFERSON ST,2135
JFK JAMAICA CT1,3708.5
JKSN HT-ROOSVLT,20579.25
JOURNAL SQUARE,8148.483036
JUNCTION BLVD,10909.375
JUNIUS ST,1324.5
KEW GARDENS,9234.25
KINGSBRIDGE RD,8609.5
KINGS HWY,11855.08333
KINGSTON AV,1622.25
KINGSTON-THROOP,2154.25
KNICKERBOCKER,1883
KOSCIUSZKO ST,1875
LACKAWANNA,1241.35
LAFAYETTE AV,1216.333333
LEXINGTON AV/53,8087.125
LEXINGTON AV/63,5038
LIBERTY AV,1375
LIVONIA AV,1871
LONGWOOD AV,759.5
LORIMER ST,3186
MARBLE HILL-225,2416
MARCY AV,4915
METROPOLITAN AV,3505.25
METS-WILLETS PT,1108.5
MIDDLETOWN RD,884.5
MONTROSE AV,1852.5
MORGAN AV,1824.5
MORISN AV/SNDVW,3590.75
MORRIS PARK,970.5
MOSHOLU PKWY,4240.5
MT EDEN AV,2982.25
MYRTLE AV,4434
MYRTLE-WILLOUGH,2207.5
MYRTLE-WYCKOFF,7926.75
NASSAU AV,2410.25
NECK RD,1757
NEPTUNE AV,653.5
NEREID AV,1827.5
NEVINS ST,3747.5
NEWARK BM BW,4909.9
NEWARK C,3137.163223
NEWARK HM HE,0
NEWARK HW BMEBE,1111.75
NEWKIRK AV,3665.5
NEWKIRK PLAZA,4191
NEW LOTS,2453
NEW LOTS AV,3243.25
NEW UTRECHT AV,2359
NORTHERN BLVD,2827
NORWOOD 205 ST,4391
NORWOOD AV,1760
NOSTRAND AV,7288.25
OCEAN PKWY,1388.75
OZONE PK LEFFRT,3931.5
PARKCHESTER,7423.5
PARK PLACE,1234.25
PARKSIDE AV,2318.5
PARSONS BLVD,3103.25
PATH NEW WTC,11137
PATH WTC 2,941.25
PAVONIA/NEWPORT,1831.45
PELHAM BAY PARK,3516.25
PELHAM PKWY,5938.5
PENNSYLVANIA AV,2555.25
PRESIDENT ST,1237.5
PRINCE ST,1089.5
PROSPECT AV,5443.25
PROSPECT PARK,3454.5
QUEENSBORO PLZ,4375.75
QUEENS PLAZA,4040
RALPH AV,2559
RECTOR ST,2510.25
RIT-MANHATTAN,998
RIT-ROOSEVELT,964.5
ROCKAWAY AV,5182.5
ROCKAWAY BLVD,3524
ROCKAWAY PARK B,367.5
ROOSEVELT ISLND,2028.5
SARATOGA AV,2841.5
SENECA AVE,1368
SHEEPSHEAD BAY,5493
SHEPHERD AV,1678
SIMPSON ST,4395
SMITH-9 ST,1819
SOUTH FERRY,3530
SPRING ST,3459.75
STEINWAY ST,4362.5
STERLING ST,2185.25
ST. GEORGE,4112
ST LAWRENCE AV,2220.25
SUTPHIN-ARCHER,10846.75
SUTPHIN BLVD,1875
SUTTER AV,1995.5
SUTTER AV-RUTLD,3592.5
THIRTY ST,2324.45
THIRTY THIRD ST,3805
TIMES SQ-42 ST,18424
TOMPKINSVILLE,409.75
TREMONT AV,5125.5
TWENTY THIRD ST,1284.25
UNION ST,1509.5
UTICA AV,6417.5
VAN SICLEN AV,3010
VAN SICLEN AVE,1568
V.CORTLANDT PK,2957.75
VERNON-JACKSON,3910.5
W 4 ST-WASH SQ,6823.5
W 8 ST-AQUARIUM,1024
WAKEFIELD/241,2827.5
WALL ST,7831.5
WESTCHESTER SQ,3089.25
WEST FARMS SQ,3277.951613
WHITEHALL S-FRY,3960
WHITLOCK AV,1086.5
WILSON AV,1537.25
WINTHROP ST,3131
WOODHAVEN BLVD,9863.25
WOODLAWN,3122.5
WORLD TRADE CTR,3086
WTC-CORTLANDT,1747
YORK ST,2598.5
ZEREGA AV,1209.5
