,zipcode,rideship
0,11693,0.0
1,10463,815.25
2,10033,3751.5
3,11367,0.0
4,10472,4886.75
5,10037,0.0
6,10026,5268.25
7,10119,0.0
8,10044,449.5
9,10036,11374.5
10,10002,6457.6875
11,10038,0.0
12,11206,9022.0
13,10275,0.0
14,10111,0.0
15,10022,3246.0
16,10043,0.0
17,10170,0.0
18,10112,0.0
19,10122,0.0
20,10107,0.0
21,10103,0.0
22,10081,0.0
23,10304,0.0
24,10169,0.0
25,10167,0.0
26,10177,0.0
27,10172,0.0
28,10310,0.0
29,11212,2621.0
30,10302,0.0
31,11096,0.0
32,11416,545.0
33,10470,1264.0
34,10469,4541.5
35,10039,1689.25
36,10029,1499.75
37,10010,6031.125
38,11411,0.0
39,11040,0.0
40,10096,0.0
41,11220,3222.25
42,11225,3734.5
43,11209,719.75
44,11228,594.0
45,11372,1973.75
46,11004,0.0
47,10305,0.0
48,11096,0.0
49,11223,5162.75
50,11693,0.0
51,11693,0.0
52,11426,0.0
53,11365,0.0
54,11373,9947.0
55,11001,0.0
56,11375,7689.25
57,11427,0.0
58,11374,1324.0
59,11366,0.0
60,11423,0.0
61,11428,0.0
62,11432,4315.5
63,11379,2342.5
64,11429,0.0
65,11419,1223.5
66,11435,471.75
67,11415,0.0
68,11418,328.25
69,11433,6141.0
70,11451,0.0
71,11221,1788.0
72,11421,1073.75
73,10065,3155.25
74,11434,0.0
75,11216,5955.875
76,11233,6814.5
77,11436,0.0
78,10097,0.0
79,11213,7601.5
80,11218,610.0
81,11226,9710.75
82,11219,3137.75
83,11210,2548.0
84,11230,2322.0
85,11204,4620.0
86,10471,0.0
87,10466,3049.5
88,10458,2021.75
89,10467,6664.5
90,10463,815.25
91,11370,0.0
92,10475,0.0
93,10034,2436.75
94,10457,3392.25
95,10462,2167.5
96,10040,2258.5
97,11362,0.0
98,10464,0.0
99,10464,0.0
100,10031,5789.5
101,10468,7096.75
102,10453,4703.0
103,10456,0.0
104,10030,2662.25
105,10013,2540.5
106,10464,0.0
107,10461,2947.0
108,10455,7036.5
109,10460,3819.0
110,10465,0.0
111,10032,4868.75
112,10452,10895.0
113,11103,519.0
114,10459,3917.25
115,10024,0.0
116,10021,0.0
117,10451,3573.7884615000003
118,10035,0.0
119,10025,2276.5
120,10454,2300.5
121,10001,18213.910606
122,10473,0.0
123,10027,10969.5
124,10474,0.0
125,10035,0.0
126,11357,0.0
127,00083,15843.5
128,10016,0.0
129,10014,2939.7458333
130,11363,0.0
131,11356,0.0
132,11359,0.0
133,11360,0.0
134,11105,1127.75
135,10128,2002.5
136,10075,0.0
137,11102,1087.25
138,10003,9563.5
139,11371,0.0
140,10023,5307.5
141,10028,7871.5
142,11354,4602.0
143,11361,0.0
144,11358,0.0
145,11369,0.0
146,11106,482.25
147,10011,3065.25
148,11109,0.0
149,10006,487.25
150,11368,2969.25
151,11104,2746.25
152,11377,3360.5
153,11355,0.0
154,11101,12717.25
155,11364,0.0
156,10018,423.25
157,10020,0.0
158,11005,0.0
159,10017,5354.5
160,11222,1468.75
161,10173,0.0
162,11378,0.0
163,10009,1649.0
164,10012,1670.0
165,11412,0.0
166,10005,1840.5
167,11211,8892.0
168,10007,5204.0
169,11237,3601.0
170,11385,1188.0
171,11251,1846.5
172,10004,2279.25
173,11217,7393.0
174,10196,0.0
175,11420,3454.25
176,11201,16257.25
177,10004,2279.25
178,11205,1181.25
179,11208,6604.5
180,11231,0.0
181,11207,12388.0
182,10004,2279.25
183,10004,2279.25
184,11413,0.0
185,10196,0.0
186,11238,3370.0
187,11231,0.0
188,11422,0.0
189,10178,0.0
190,11417,2043.0
191,11215,1355.4
192,10069,0.0
193,10281,0.0
194,10282,0.0
195,11414,350.0
196,11232,541.0
197,10312,0.0
198,11694,88.5
199,11239,0.0
200,11430,578.0
201,11203,0.0
202,10080,0.0
203,10203,0.0
204,11236,1353.0
205,10019,5275.0
206,10265,0.0
207,11214,458.5
208,10171,0.0
209,10301,126.5
210,10154,0.0
211,10152,0.0
212,10270,0.0
213,10303,0.0
214,10153,0.0
215,10174,0.0
216,10166,0.0
217,10045,0.0
218,10047,0.0
219,10047,0.0
220,10306,0.0
221,11234,0.0
222,10259,0.0
223,10260,0.0
224,10285,0.0
225,10286,0.0
226,11693,0.0
227,11697,0.0
228,11692,965.0
229,10314,0.0
230,11229,467.75
231,10115,0.0
232,10123,0.0
233,10106,0.0
234,10158,0.0
235,11691,1838.25
236,10041,0.0
237,10120,0.0
238,10278,0.0
239,11235,1861.5
240,10104,0.0
241,10271,0.0
242,10110,0.0
243,10155,0.0
244,11370,0.0
245,11224,3030.5
246,10308,0.0
247,10175,0.0
248,10151,0.0
249,10121,0.0
250,10309,0.0
251,10307,0.0
252,10280,0.0
253,10048,3840.9
254,10279,0.0
255,10165,0.0
256,10168,0.0
257,10055,0.0
258,10105,0.0
259,10118,0.0
260,10176,0.0
261,10162,0.0
